actor,movie_or_TV_name
James Sloyan,Brothers
James Sloyan,Vital Signs
James Sloyan,The Love Boat
James Sloyan,Simon & Simon
James Sloyan,The Fall Guy
James Sloyan,Misfits of Science
James Sloyan,Amos
James Sloyan,Hotel
James Sloyan,Moonlighting
James Sloyan,Cagney & Lacey
James Sloyan,Code Name: Foxfire
James Sloyan,Riptide
James Sloyan,Knots Landing
James Sloyan,Partners in Crime
James Sloyan,Hawaiian Heat
James Sloyan,Oh Madeline
James Sloyan,Ryan's Hope
Stephen Macht,Quincy M.E.
Stephen Macht,The Six Million Dollar Man
Stephen Macht,Raid on Entebbe
Stephen Macht,Kojak
Stephen Macht,Amelia Earhart
Stephen Macht,Serpico
Stephen Macht,The Tenth Level
Stephen Macht,The Super Cops
Stephen Macht,Deadly Visitor
Bertila Damas,Here Kills the Bride
Bertila Damas,iMurder
Bertila Damas,Chicago Med
Bertila Damas,The Burned Photo
Bertila Damas,Bingo Hell
Bertila Damas,"Roswell, New Mexico"
Bertila Damas,NCIS
Bertila Damas,Lodge 49
Bertila Damas,Pearson
Bertila Damas,Brooklyn Nine-Nine
Marc Worden,Teen Titans
Marc Worden,10.5
Marc Worden,Stargate SG-1
Marc Worden,Static Shock
Marc Worden,Wonderful Days
Marc Worden,Six Feet Under
Marc Worden,The Zeta Project
Marc Worden,NYPD Blue
Marc Worden,Jak and Daxter: The Precursor Legacy
Marc Worden,Command & Conquer: Yuri's Revenge
Marc Worden,Combat Flight Simulator 2
Marc Worden,Nash Bridges
Marc Worden,Student Affairs
Marc Worden,"Come On, Get Happy: The Partridge Family Story"
Marc Worden,Batman Beyond
Marc Worden,Pirates of Silicon Valley
Marc Worden,Batman Beyond: The Movie
Marc Worden,Felicity
Marc Worden,The Lesser Evil
Marc Worden,Star Trek: Deep Space Nine
Marc Worden,Blade Runner
Marc Worden,The Maker
Marc Worden,Space: Above and Beyond
Marc Worden,Night Stand
Marc Worden,Emerald Cove
Marc Worden,Avonlea
Marc Worden,Rin Tin Tin: K-9 Cop
Marc Worden,The Judge
James Sloyan,The Quest
James Sloyan,Falcon Crest
James Sloyan,Prime Suspect
James Sloyan,Today's F.B.I.
James Sloyan,Callie & Son
James Sloyan,The Violation of Sarah McDavid
James Sloyan,CHiPs
James Sloyan,Lou Grant
James Sloyan,The Asphalt Cowboy
James Sloyan,Xanadu
James Sloyan,Trouble in High Timber Country
James Sloyan,Tenspeed and Brown Shoe
James Sloyan,Act of Violence
James Sloyan,Buck Rogers in the 25th Century
James Sloyan,Blind Ambition
James Sloyan,Wonder Woman
James Sloyan,Kaz
James Sloyan,Centennial
James Sloyan,Westside Medical
James Sloyan,The Disappearance of Aimee
James Sloyan,Delvecchio
James Sloyan,The Million Dollar Rip-Off
James Sloyan,The Manhunter
James Sloyan,Panic on the 5:22
James Sloyan,Cannon
James Sloyan,The Family Kovack
James Sloyan,The Streets of San Francisco
James Sloyan,Hawaii Five-O
James Sloyan,The Sting
James Sloyan,Chase
James Sloyan,Kojak
James Sloyan,Honor Thy Father
James Sloyan,Madigan
James Sloyan,The Doctors
James Sloyan,Between Time and Timbuktu
James Sloyan,The Gang That Couldn't Shoot Straight
James Sloyan,Great Performances
James Sloyan,The Traveling Executioner
Bertila Damas,The Rookie
Bertila Damas,Lethal Weapon
